,ENSEMBL_ID
0,ENSG00000000938
1,ENSG00000004897
2,ENSG00000005801
3,ENSG00000005810
4,ENSG00000005882
5,ENSG00000007202
6,ENSG00000008405
7,ENSG00000010327
8,ENSG00000038945
9,ENSG00000054983
10,ENSG00000057704
11,ENSG00000064999
12,ENSG00000067057
13,ENSG00000068831
14,ENSG00000069535
15,ENSG00000072818
16,ENSG00000075624
17,ENSG00000077549
18,ENSG00000092871
19,ENSG00000093072
20,ENSG00000094916
21,ENSG00000100139
22,ENSG00000100802
23,ENSG00000100906
24,ENSG00000101868
25,ENSG00000102103
26,ENSG00000102755
27,ENSG00000103037
28,ENSG00000103196
29,ENSG00000104325
30,ENSG00000106266
31,ENSG00000106538
32,ENSG00000106636
33,ENSG00000107281
34,ENSG00000107562
35,ENSG00000108262
36,ENSG00000108423
37,ENSG00000108679
38,ENSG00000109107
39,ENSG00000109919
40,ENSG00000110811
41,ENSG00000111785
42,ENSG00000111850
43,ENSG00000111885
44,ENSG00000111912
45,ENSG00000112031
46,ENSG00000112033
47,ENSG00000112576
48,ENSG00000112893
49,ENSG00000113368
50,ENSG00000113758
51,ENSG00000113845
52,ENSG00000114026
53,ENSG00000114115
54,ENSG00000114405
55,ENSG00000114850
56,ENSG00000115165
57,ENSG00000115282
58,ENSG00000116731
59,ENSG00000118181
60,ENSG00000118785
61,ENSG00000118971
62,ENSG00000119535
63,ENSG00000119669
64,ENSG00000119705
65,ENSG00000119723
66,ENSG00000120708
67,ENSG00000120860
68,ENSG00000121410
69,ENSG00000124491
70,ENSG00000124541
71,ENSG00000124570
72,ENSG00000125144
73,ENSG00000125611
74,ENSG00000126803
75,ENSG00000129197
76,ENSG00000130517
77,ENSG00000131018
78,ENSG00000131370
79,ENSG00000133027
80,ENSG00000133048
81,ENSG00000133627
82,ENSG00000134014
83,ENSG00000137033
84,ENSG00000137161
85,ENSG00000137171
86,ENSG00000137822
87,ENSG00000137996
88,ENSG00000140263
89,ENSG00000140332
90,ENSG00000140598
91,ENSG00000141026
92,ENSG00000142185
93,ENSG00000145685
94,ENSG00000146281
95,ENSG00000147854
96,ENSG00000151690
97,ENSG00000152443
98,ENSG00000153487
99,ENSG00000153827
100,ENSG00000154978
101,ENSG00000157978
102,ENSG00000158050
103,ENSG00000158169
104,ENSG00000158321
105,ENSG00000160613
106,ENSG00000161281
107,ENSG00000162244
108,ENSG00000163002
109,ENSG00000163162
110,ENSG00000163430
111,ENSG00000163877
112,ENSG00000165092
113,ENSG00000166002
114,ENSG00000166037
115,ENSG00000166825
116,ENSG00000167077
117,ENSG00000167107
118,ENSG00000167632
119,ENSG00000168060
120,ENSG00000169490
121,ENSG00000169855
122,ENSG00000169991
123,ENSG00000170633
124,ENSG00000171862
125,ENSG00000173039
126,ENSG00000175115
127,ENSG00000175265
128,ENSG00000175463
129,ENSG00000175538
130,ENSG00000176386
131,ENSG00000176788
132,ENSG00000177728
134,ENSG00000179715
135,ENSG00000180185
136,ENSG00000182541
137,ENSG00000183963
138,ENSG00000184113
139,ENSG00000185219
140,ENSG00000185633
141,ENSG00000187239
142,ENSG00000196116
143,ENSG00000196436
144,ENSG00000197102
145,ENSG00000197724
146,ENSG00000197782
147,ENSG00000198315
148,ENSG00000198624
149,ENSG00000198690
150,ENSG00000198727
151,ENSG00000205268
152,ENSG00000205364
153,ENSG00000206291
154,ENSG00000213347
155,ENSG00000213639
156,ENSG00000220205
157,ENSG00000227746
158,ENSG00000228964
159,ENSG00000235844
160,ENSG00000244005
161,ENSG00000244115
162,ENSG00000244509
163,ENSG00000244734
164,ENSG00000261992
165,ENSG00000265681
166,ENSG00000272901
167,ENSG00000274512
168,ENSG00000275074
169,ENSG00000278114
170,ENSG00000280529
